system,feature
Constitutional,"Fatigue, hyperthermia, hypothermia, sweats, flushing, plethora, pallor, increased appetite, decreased appetite, weight gain, weight loss, migratory pruritus, chemical sensitivities, physical sensitivities, poor healing"
Dermatologic/integument,"Dermatographism, rashes, migratory patchy macular erythema, telangiectasias, angiomata, xerosis, striae, warts, tags, folliculitis, ulcers, dyshydrotic eczema, angioedema, alopecia, onychodystrophy"
Ophthalmologic,"Irritated eyes, dry eyes, difficulty focusing vision, blepharospasm"
Otologic/osmic,"Oitis externa, otitis media, hearing loss, tinnitus, dysosmia, coryza, post-nasal drip, congestion, epistaxis"
Oral/oropharyngeal,"Oral pain, leukoplakia, ulcers, angioedema, dysgeusia, periodontal disease"
Lymphatic,"Lymphadenopathy, lymphadenitis"
Pulmonary,"Sinutitis, laryngitis, bronchitis, pneumonia, cough, dyspnea with normal pulmonary function tests, wheezing, obstructive sleep apnea "
Cardiovascular,"Presyncope, postural orthostatic tachycardia syndrome, hypertension, blood pressure lability, palpitations, migratory edema, chest pain, atherosclerosis, takotsubo cardiomyopathy, Kounis syndrome, vascular anomalies"
Gastrointestinal,"Dyspepsia, gastroesophageal reflux, nausea, vomiting, diarrhea, constipation, gastroparesis, angioedema, dysphagia, bloating, migratory abdominal pain, malabsorption"
Genitourinary,"urinary tract infection, interstitial cystitis, chronic kidney disease, endometriosis, chronic back pain, infertility, decreased libido, vulvodynia, vaginitis, dysmenorrhea, menorrhagia, miscarriage"
Musculoskeletal/connective tissue,"Bone pain, joint pain, muscle pain, hypermobility, osteopenia, osteoporosis, cysts, fibrosis, hemorrhoids, aneurysms,  arteriovenous malformations"
Neurologic,"Headache, sensory neuropathies, episodic weakness, dysautonomias, seizure disorders, pseudoseizures, cognitive dysfunction, memory problems, difficulty concentrating, word-finding difficulty, insomnia, frequent waking, hypersomnolence, non-restorative sleep, restless legs"
Psychiatric,"Depression, irritability, mood lability, anxiety, obsessive-compulsive behavior, attention deficit, hyperactivity"
Endocrinologic/metabolic,"Abnormal electrolytes, abnormal liver enzymes, hypothyroidism, hyperthyroidism, dyslipidemia, hyperglycemia, hypoglycemia, glycemic lability, hypoferritinemia, hyperferritinemia, delayed puberty"
Hematologic/coagulopathic,"Polycythemia, anemia, leukocytosis, leukopenia, monocytosis, eosinophilia, basophilia, thrombocytosis, thrombocytopenia,thromboembolic disease, easy bruising, easy bleeding, "
Immunologic,"Hypersensitivity reactions, increased susceptibility to infection, increased immunoglobulins, decreased immunoglobulins"
