PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21035176","Mast cell activation syndrome: Proposed diagnostic criteria","Akin C, Valent P, Metcalfe DD.","J Allergy Clin Immunol. 2010 Dec;126(6):1099-104.e4. doi: 10.1016/j.jaci.2010.08.035. Epub 2010 Oct 28.","Akin C","J Allergy Clin Immunol","2010","2010/11/02","PMC3753019","NIHMS496647","10.1016/j.jaci.2010.08.035"
"37255928","Autoimmunity in Long Covid and POTS","El-Rhermoul FZ, Fedorowski A, Eardley P, Taraborrelli P, Panagopoulos D, Sutton R, Lim PB, Dani M.","Oxf Open Immunol. 2023 Mar 8;4(1):iqad002. doi: 10.1093/oxfimm/iqad002. eCollection 2023.","El-Rhermoul FZ","Oxf Open Immunol","2023","2023/05/31","PMC10224806","","10.1093/oxfimm/iqad002"
"37108184","The Role of Mast Cells in the Induction and Maintenance of Inflammation in Selected Skin Diseases","Woźniak E, Owczarczyk-Saczonek A, Lange M, Czarny J, Wygonowska E, Placek W, Nedoszytko B.","Int J Mol Sci. 2023 Apr 10;24(8):7021. doi: 10.3390/ijms24087021.","Woźniak E","Int J Mol Sci","2023","2023/04/28","PMC10139379","","10.3390/ijms24087021"
"37105564","Recent advances in diagnosis and therapy in systemic mastocytosis","Lee HJ.","Blood Res. 2023 Apr 30;58(S1):96-108. doi: 10.5045/br.2023.2023024.","Lee HJ","Blood Res","2023","2023/04/27","PMC10133845","","10.5045/br.2023.2023024"
"37071243","Addressing Controversies in Mast Cell Activation Syndrome: Analysis Using the Cluster Instrument","Hamilton MJ.","Dig Dis Sci. 2023 Apr 18. doi: 10.1007/s10620-023-07923-3. Online ahead of print.","Hamilton MJ","Dig Dis Sci","2023","2023/04/18","","","10.1007/s10620-023-07923-3"
"36485101","How to evaluate the patient with a suspected mast cell disorder and how/when to manage symptoms","Akin C.","Hematology Am Soc Hematol Educ Program. 2022 Dec 9;2022(1):55-63. doi: 10.1182/hematology.2022000366.","Akin C","Hematology Am Soc Hematol Educ Program","2022","2022/12/09","PMC9820312","","10.1182/hematology.2022000366"
"36210445","Pathophysiology of Post-COVID syndromes: a new perspective","Batiha GE, Al-Kuraishy HM, Al-Gareeb AI, Welson NN.","Virol J. 2022 Oct 9;19(1):158. doi: 10.1186/s12985-022-01891-2.","Batiha GE","Virol J","2022","2022/10/09","PMC9548310","","10.1186/s12985-022-01891-2"
"36107283","A fully human anti-c-Kit monoclonal antibody 2G4 inhibits proliferation and degranulation of human mast cells","Kim KH, Kim JO, Park SG.","Mol Cell Biochem. 2023 Apr;478(4):861-873. doi: 10.1007/s11010-022-04557-3. Epub 2022 Sep 15.","Kim KH","Mol Cell Biochem","2023","2022/09/15","PMC10066129","","10.1007/s11010-022-04557-3"
"36074973","Sinus Tachycardia: a Multidisciplinary Expert Focused Review","Mayuga KA, Fedorowski A, Ricci F, Gopinathannair R, Dukes JW, Gibbons C, Hanna P, Sorajja D, Chung M, Benditt D, Sheldon R, Ayache MB, AbouAssi H, Shivkumar K, Grubb BP, Hamdan MH, Stavrakis S, Singh T, Goldberger JJ, Muldowney JAS 3rd, Belham M, Kem DC, Akin C, Bruce BK, Zahka NE, Fu Q, Van Iterson EH, Raj SR, Fouad-Tarazi F, Goldstein DS, Stewart J, Olshansky B.","Circ Arrhythm Electrophysiol. 2022 Sep;15(9):e007960. doi: 10.1161/CIRCEP.121.007960. Epub 2022 Sep 8.","Mayuga KA","Circ Arrhythm Electrophysiol","2022","2022/09/08","PMC9523592","NIHMS1830947","10.1161/CIRCEP.121.007960"
"35605594","Mast Cell Activation Syndromes: Collegium Internationale Allergologicum Update 2022","Valent P, Hartmann K, Bonadonna P, Niedoszytko M, Triggiani M, Arock M, Brockow K.","Int Arch Allergy Immunol. 2022;183(7):693-705. doi: 10.1159/000524532. Epub 2022 May 23.","Valent P","Int Arch Allergy Immunol","2022","2022/05/23","PMC9393812","","10.1159/000524532"
"35281031","Overexpression of FcεRI on Bone Marrow Mast Cells, but Not MRGPRX2, in Clonal Mast Cell Disorders With Wasp Venom Anaphylaxis","Elst J, De Puysseleyr LP, Ebo DG, Faber MA, Van Gasse AL, van der Poorten MM, Decuyper II, Bridts CH, Mertens C, Van Houdt M, Hagendorens MM, De Clerck LS, Verlinden A, Vermeulen K, Maes MB, Berneman ZN, Valent P, Sabato V.","Front Immunol. 2022 Feb 25;13:835618. doi: 10.3389/fimmu.2022.835618. eCollection 2022.","Elst J","Front Immunol","2022","2022/03/14","PMC8914951","","10.3389/fimmu.2022.835618"
"35028901","Could SARS-CoV-2 Spike Protein Be Responsible for Long-COVID Syndrome?","Theoharides TC.","Mol Neurobiol. 2022 Mar;59(3):1850-1861. doi: 10.1007/s12035-021-02696-0. Epub 2022 Jan 13.","Theoharides TC","Mol Neurobiol","2022","2022/01/14","PMC8757925","","10.1007/s12035-021-02696-0"
"34901755","Updated Diagnostic Criteria and Classification of Mast Cell Disorders: A Consensus Proposal","Valent P, Akin C, Hartmann K, Alvarez-Twose I, Brockow K, Hermine O, Niedoszytko M, Schwaab J, Lyons JJ, Carter MC, Elberink HO, Butterfield JH, George TI, Greiner G, Ustun C, Bonadonna P, Sotlar K, Nilsson G, Jawhar M, Siebenhaar F, Broesby-Olsen S, Yavuz S, Zanotti R, Lange M, Nedoszytko B, Hoermann G, Castells M, Radia DH, Muñoz-Gonzalez JI, Sperr WR, Triggiani M, Kluin-Nelemans HC, Galli SJ, Schwartz LB, Reiter A, Orfao A, Gotlib J, Arock M, Horny HP, Metcalfe DD.","Hemasphere. 2021 Oct 13;5(11):e646. doi: 10.1097/HS9.0000000000000646. eCollection 2021 Nov.","Valent P","Hemasphere","2021","2021/12/13","PMC8659997","","10.1097/HS9.0000000000000646"
"34575637","Ways to Address Perinatal Mast Cell Activation and Focal Brain Inflammation, including Response to SARS-CoV-2, in Autism Spectrum Disorder","Theoharides TC.","J Pers Med. 2021 Aug 29;11(9):860. doi: 10.3390/jpm11090860.","Theoharides TC","J Pers Med","2021","2021/09/28","PMC8465360","","10.3390/jpm11090860"
"34574918","COVID-19 Disease Leading to Chronic Spontaneous Urticaria Exacerbation: A Romanian Retrospective Study","Muntean IA, Pintea I, Bocsan IC, Dobrican CT, Deleanu D.","Healthcare (Basel). 2021 Sep 1;9(9):1144. doi: 10.3390/healthcare9091144.","Muntean IA","Healthcare (Basel)","2021","2021/09/28","PMC8470475","","10.3390/healthcare9091144"
"34008339","Activated mast cells in skeletal muscle can be a potential mediator for cancer-associated cachexia","Widner DB, Liu C, Zhao Q, Sharp S, Eber MR, Park SH, Files DC, Shiozawa Y.","J Cachexia Sarcopenia Muscle. 2021 Aug;12(4):1079-1097. doi: 10.1002/jcsm.12714. Epub 2021 May 18.","Widner DB","J Cachexia Sarcopenia Muscle","2021","2021/05/19","PMC8350201","","10.1002/jcsm.12714"
"34000855","Depression, psychosocial correlates, and psychosocial resources in individuals with mast cell activation syndrome","Nicoloro SantaBarbara J, Lobel M.","J Health Psychol. 2022 Aug;27(9):2013-2026. doi: 10.1177/13591053211014583. Epub 2021 May 18.","Nicoloro SantaBarbara J","J Health Psychol","2022","2021/05/18","PMC10103633","NIHMS1880988","10.1177/13591053211014583"
"33847020","Long-COVID syndrome-associated brain fog and chemofog: Luteolin to the rescue","Theoharides TC, Cholevas C, Polyzoidis K, Politis A.","Biofactors. 2021 Mar;47(2):232-241. doi: 10.1002/biof.1726. Epub 2021 Apr 12.","Theoharides TC","Biofactors","2021","2021/04/13","PMC8250989","","10.1002/biof.1726"
