comp,entropy
aha_kawasaki.eular_acr_sle,0.08632986344417848
aha_kawasaki.mcas_alternative,-0.528324422408259
aha_kawasaki.mcas_consortium,-0.0796995776758056
aha_kawasaki.migraine,0.18658676837273624
aha_kawasaki.slicc_sle,0.19516444228321106
eular_acr_sle.mcas_alternative,-0.6146542858524375
eular_acr_sle.mcas_consortium,-0.16602944111998408
eular_acr_sle.migraine,0.10025690492855777
eular_acr_sle.slicc_sle,0.10883457883903258
mcas_alternative.mcas_consortium,0.44862484473245345
mcas_alternative.migraine,0.7149111907809953
mcas_alternative.slicc_sle,0.7234888646914701
mcas_consortium.migraine,0.26628634604854184
mcas_consortium.slicc_sle,0.27486401995901666
migraine.slicc_sle,0.008577673910474815
aha_kawasaki.eular_acr_sle,0.07850291516504448
aha_kawasaki.mcas_alternative,-0.5327717223241599
aha_kawasaki.mcas_consortium,-0.0893822914135729
aha_kawasaki.migraine,0.17509026686340246
aha_kawasaki.slicc_sle,0.19492500679457514
eular_acr_sle.mcas_alternative,-0.6112746374892044
eular_acr_sle.mcas_consortium,-0.16788520657861739
eular_acr_sle.migraine,0.09658735169835797
eular_acr_sle.slicc_sle,0.11642209162953066
mcas_alternative.mcas_consortium,0.443389430910587
mcas_alternative.migraine,0.7078619891875624
mcas_alternative.slicc_sle,0.7276967291187351
mcas_consortium.migraine,0.26447255827697536
mcas_consortium.slicc_sle,0.28430729820814804
migraine.slicc_sle,0.019834739931172685
aha_kawasaki.eular_acr_sle,0.08125448221621934
aha_kawasaki.mcas_alternative,-0.5331643724939177
aha_kawasaki.mcas_consortium,-0.09133257146772689
aha_kawasaki.migraine,0.17761450791877564
aha_kawasaki.slicc_sle,0.19168508174718735
eular_acr_sle.mcas_alternative,-0.614418854710137
eular_acr_sle.mcas_consortium,-0.17258705368394622
eular_acr_sle.migraine,0.0963600257025563
eular_acr_sle.slicc_sle,0.11043059953096801
mcas_alternative.mcas_consortium,0.4418318010261908
mcas_alternative.migraine,0.7107788804126933
mcas_alternative.slicc_sle,0.724849454241105
mcas_consortium.migraine,0.26894707938650253
mcas_consortium.slicc_sle,0.28301765321491423
migraine.slicc_sle,0.014070573828411703
aha_kawasaki.eular_acr_sle,0.0746307746620003
aha_kawasaki.mcas_alternative,-0.5174382080769897
aha_kawasaki.mcas_consortium,-0.0805945590243029
aha_kawasaki.migraine,0.17505747331185795
aha_kawasaki.slicc_sle,0.19851046397814365
eular_acr_sle.mcas_alternative,-0.59206898273899
eular_acr_sle.mcas_consortium,-0.1552253336863032
eular_acr_sle.migraine,0.10042669864985765
eular_acr_sle.slicc_sle,0.12387968931614335
mcas_alternative.mcas_consortium,0.4368436490526868
mcas_alternative.migraine,0.6924956813888477
mcas_alternative.slicc_sle,0.7159486720551334
mcas_consortium.migraine,0.25565203233616085
mcas_consortium.slicc_sle,0.27910502300244655
migraine.slicc_sle,0.0234529906662857
aha_kawasaki.eular_acr_sle,0.08024932988275424
aha_kawasaki.mcas_alternative,-0.5320888683626999
aha_kawasaki.mcas_consortium,-0.0892001473865589
aha_kawasaki.migraine,0.17041222266281153
aha_kawasaki.slicc_sle,0.19406140037720832
eular_acr_sle.mcas_alternative,-0.6123381982454541
eular_acr_sle.mcas_consortium,-0.16944947726931314
eular_acr_sle.migraine,0.09016289278005729
eular_acr_sle.slicc_sle,0.11381207049445408
mcas_alternative.mcas_consortium,0.44288872097614096
mcas_alternative.migraine,0.7025010910255114
mcas_alternative.slicc_sle,0.7261502687399082
mcas_consortium.migraine,0.25961237004937043
mcas_consortium.slicc_sle,0.2832615477637672
migraine.slicc_sle,0.023649177714396785
aha_kawasaki.eular_acr_sle,0.07578631349266551
aha_kawasaki.mcas_alternative,-0.5296554031791691
aha_kawasaki.mcas_consortium,-0.08919256335342851
aha_kawasaki.migraine,0.171376507682667
aha_kawasaki.slicc_sle,0.18691875145361703
eular_acr_sle.mcas_alternative,-0.6054417166718347
eular_acr_sle.mcas_consortium,-0.16497887684609402
eular_acr_sle.migraine,0.09559019419000148
eular_acr_sle.slicc_sle,0.11113243796095151
mcas_alternative.mcas_consortium,0.44046283982574064
mcas_alternative.migraine,0.7010319108618361
mcas_alternative.slicc_sle,0.7165741546327862
mcas_consortium.migraine,0.2605690710360955
mcas_consortium.slicc_sle,0.27611131480704554
migraine.slicc_sle,0.015542243770950037
aha_kawasaki.eular_acr_sle,0.09070794366548274
aha_kawasaki.mcas_alternative,-0.525287763736765
aha_kawasaki.mcas_consortium,-0.08492416606099429
aha_kawasaki.migraine,0.18021497905735018
aha_kawasaki.slicc_sle,0.1955458692196128
eular_acr_sle.mcas_alternative,-0.6159957074022477
eular_acr_sle.mcas_consortium,-0.17563210972647703
eular_acr_sle.migraine,0.08950703539186744
eular_acr_sle.slicc_sle,0.10483792555413007
mcas_alternative.mcas_consortium,0.4403635976757707
mcas_alternative.migraine,0.7055027427941152
mcas_alternative.slicc_sle,0.7208336329563778
mcas_consortium.migraine,0.26513914511834447
mcas_consortium.slicc_sle,0.2804700352806071
migraine.slicc_sle,0.015330890162262634
aha_kawasaki.eular_acr_sle,0.07322952557725149
aha_kawasaki.mcas_alternative,-0.5353000855953391
aha_kawasaki.mcas_consortium,-0.08769293862104632
aha_kawasaki.migraine,0.18014509925468758
aha_kawasaki.slicc_sle,0.19945487862074796
eular_acr_sle.mcas_alternative,-0.6085296111725906
eular_acr_sle.mcas_consortium,-0.1609224641982978
eular_acr_sle.migraine,0.1069155736774361
eular_acr_sle.slicc_sle,0.12622535304349647
mcas_alternative.mcas_consortium,0.4476071469742928
mcas_alternative.migraine,0.7154451848500267
mcas_alternative.slicc_sle,0.7347549642160871
mcas_consortium.migraine,0.2678380378757339
mcas_consortium.slicc_sle,0.2871478172417943
migraine.slicc_sle,0.019309779366060376
aha_kawasaki.eular_acr_sle,0.08092519071463844
aha_kawasaki.mcas_alternative,-0.5294375508669145
aha_kawasaki.mcas_consortium,-0.08641914232591841
aha_kawasaki.migraine,0.18465154854008947
aha_kawasaki.slicc_sle,0.20018277704328646
eular_acr_sle.mcas_alternative,-0.6103627415815529
eular_acr_sle.mcas_consortium,-0.16734433304055685
eular_acr_sle.migraine,0.10372635782545103
eular_acr_sle.slicc_sle,0.11925758632864802
mcas_alternative.mcas_consortium,0.44301840854099606
mcas_alternative.migraine,0.7140890994070039
mcas_alternative.slicc_sle,0.7296203279102009
mcas_consortium.migraine,0.2710706908660079
mcas_consortium.slicc_sle,0.28660191936920487
migraine.slicc_sle,0.015531228503196992
aha_kawasaki.eular_acr_sle,0.0842427774252199
aha_kawasaki.mcas_alternative,-0.5281303847122318
aha_kawasaki.mcas_consortium,-0.08540905123607967
aha_kawasaki.migraine,0.1776166520014284
aha_kawasaki.slicc_sle,0.1948991419596
eular_acr_sle.mcas_alternative,-0.6123731621374517
eular_acr_sle.mcas_consortium,-0.16965182866129958
eular_acr_sle.migraine,0.0933738745762085
eular_acr_sle.slicc_sle,0.1106563645343801
mcas_alternative.mcas_consortium,0.44272133347615217
mcas_alternative.migraine,0.7057470367136602
mcas_alternative.slicc_sle,0.7230295266718318
mcas_consortium.migraine,0.26302570323750807
mcas_consortium.slicc_sle,0.2803081931956797
migraine.slicc_sle,0.01728248995817161
aha_kawasaki.eular_acr_sle,0.07220962895427618
aha_kawasaki.mcas_alternative,-0.5484112543521187
aha_kawasaki.mcas_consortium,-0.10016796262570526
aha_kawasaki.migraine,0.16180542953089638
aha_kawasaki.slicc_sle,0.1840189185693326
eular_acr_sle.mcas_alternative,-0.6206208833063949
eular_acr_sle.mcas_consortium,-0.17237759157998145
eular_acr_sle.migraine,0.0895958005766202
eular_acr_sle.slicc_sle,0.11180928961505643
mcas_alternative.mcas_consortium,0.4482432917264134
mcas_alternative.migraine,0.7102166838830151
mcas_alternative.slicc_sle,0.7324301729214513
mcas_consortium.migraine,0.26197339215660165
mcas_consortium.slicc_sle,0.2841868811950379
migraine.slicc_sle,0.02221348903843623
aha_kawasaki.eular_acr_sle,0.07429789723078972
aha_kawasaki.mcas_alternative,-0.5352881050770142
aha_kawasaki.mcas_consortium,-0.09203787260962937
aha_kawasaki.migraine,0.16669243397527467
aha_kawasaki.slicc_sle,0.19105760606479372
eular_acr_sle.mcas_alternative,-0.6095860023078039
eular_acr_sle.mcas_consortium,-0.1663357698404191
eular_acr_sle.migraine,0.09239453674448495
eular_acr_sle.slicc_sle,0.116759708834004
mcas_alternative.mcas_consortium,0.4432502324673848
mcas_alternative.migraine,0.7019805390522889
mcas_alternative.slicc_sle,0.7263457111418079
mcas_consortium.migraine,0.25873030658490404
mcas_consortium.slicc_sle,0.2830954786744231
migraine.slicc_sle,0.02436517208951905
aha_kawasaki.eular_acr_sle,0.07935658817941693
aha_kawasaki.mcas_alternative,-0.5241833175188848
aha_kawasaki.mcas_consortium,-0.08231452685237794
aha_kawasaki.migraine,0.1852237534867598
aha_kawasaki.slicc_sle,0.20153399726751076
eular_acr_sle.mcas_alternative,-0.6035399056983017
eular_acr_sle.mcas_consortium,-0.16167111503179488
eular_acr_sle.migraine,0.10586716530734286
eular_acr_sle.slicc_sle,0.12217740908809382
mcas_alternative.mcas_consortium,0.44186879066650686
mcas_alternative.migraine,0.7094070710056446
mcas_alternative.slicc_sle,0.7257173147863956
mcas_consortium.migraine,0.26753828033913774
mcas_consortium.slicc_sle,0.2838485241198887
migraine.slicc_sle,0.016310243780750966
aha_kawasaki.eular_acr_sle,0.08151393156831865
aha_kawasaki.mcas_alternative,-0.5254099838871031
aha_kawasaki.mcas_consortium,-0.08260496752093793
aha_kawasaki.migraine,0.16962642501726677
aha_kawasaki.slicc_sle,0.18881026664279954
eular_acr_sle.mcas_alternative,-0.6069239154554218
eular_acr_sle.mcas_consortium,-0.1641188990892566
eular_acr_sle.migraine,0.08811249344894811
eular_acr_sle.slicc_sle,0.10729633507448089
mcas_alternative.mcas_consortium,0.4428050163661652
mcas_alternative.migraine,0.6950364089043699
mcas_alternative.slicc_sle,0.7142202505299027
mcas_consortium.migraine,0.2522313925382047
mcas_consortium.slicc_sle,0.2714152341637375
migraine.slicc_sle,0.01918384162553277
aha_kawasaki.eular_acr_sle,0.07116399024029363
aha_kawasaki.mcas_alternative,-0.5422380723244409
aha_kawasaki.mcas_consortium,-0.08741140060433672
aha_kawasaki.migraine,0.1689650285898674
aha_kawasaki.slicc_sle,0.18584676157995972
eular_acr_sle.mcas_alternative,-0.6134020625647345
