iteration,V1,V2,mean_diff,median_diff
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_consortium,mcas_alternative,-1.0264136750259834e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_consortium,aha_kawasaki,7.913192824349213e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_consortium,eular_acr_sle,-1.1099648447310262e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_consortium,migraine,1.4314741315946122e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_consortium,slicc_sle,8.71529094184087e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_alternative,aha_kawasaki,-5.263603815586215e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_alternative,eular_acr_sle,8.33367538068952e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_alternative,migraine,4.7236004387718467e-5,0.005494505494505586
fNsX3fbzs5iFNsTXKUq9B62Qq,mcas_alternative,slicc_sle,-2.9173806216253872e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,aha_kawasaki,eular_acr_sle,1.2398104067889992e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,aha_kawasaki,migraine,-8.5234058879613e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,aha_kawasaki,slicc_sle,-1.5696696806632993e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,eular_acr_sle,migraine,3.735626703904593e-5,0
fNsX3fbzs5iFNsTXKUq9B62Qq,eular_acr_sle,slicc_sle,-1.122197519168866e-4,0
fNsX3fbzs5iFNsTXKUq9B62Qq,migraine,slicc_sle,8.066266281792078e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_consortium,mcas_alternative,1.6185897517551062e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_consortium,aha_kawasaki,-2.7223115157903877e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_consortium,eular_acr_sle,-7.781784769955724e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_consortium,migraine,-1.0436964328031095e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_consortium,slicc_sle,1.19348281004239e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_alternative,aha_kawasaki,9.898445287681579e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_alternative,eular_acr_sle,-1.5866017876731142e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_alternative,migraine,1.2179139959134222e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,mcas_alternative,slicc_sle,-3.822288208854552e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,aha_kawasaki,eular_acr_sle,-2.227072177352074e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,aha_kawasaki,migraine,4.808306114989502e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,aha_kawasaki,slicc_sle,2.3209118699574205e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,eular_acr_sle,migraine,-1.1504724594002536e-4,0
zbZdICxMOmJIIOfmifZxAqGUZ,eular_acr_sle,slicc_sle,-3.0800519550400196e-5,0
zbZdICxMOmJIIOfmifZxAqGUZ,migraine,slicc_sle,1.961524155713601e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_consortium,mcas_alternative,3.759484578147454e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_consortium,aha_kawasaki,2.0790909754575537e-4,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_consortium,eular_acr_sle,4.692887219492903e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_consortium,migraine,-9.90160220396552e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_consortium,slicc_sle,-5.52316585029633e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_alternative,aha_kawasaki,-8.094705726657825e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_alternative,eular_acr_sle,7.17992602323747e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_alternative,migraine,6.294362786096741e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,mcas_alternative,slicc_sle,1.8922767296403187e-4,0
S5q70dUl4WLyv1XABaKw0n6nM,aha_kawasaki,eular_acr_sle,-1.4788788894715132e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,aha_kawasaki,migraine,-1.4562444087895532e-4,0
S5q70dUl4WLyv1XABaKw0n6nM,aha_kawasaki,slicc_sle,-4.876480165516561e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,eular_acr_sle,migraine,-5.130510748918571e-5,0
S5q70dUl4WLyv1XABaKw0n6nM,eular_acr_sle,slicc_sle,1.3470554703531867e-4,0
S5q70dUl4WLyv1XABaKw0n6nM,migraine,slicc_sle,7.544868511855096e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_consortium,mcas_alternative,3.2034375339051735e-6,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_consortium,aha_kawasaki,-8.171234801257476e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_consortium,eular_acr_sle,5.673547342632812e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_consortium,migraine,1.2482561122906244e-4,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_consortium,slicc_sle,-5.863166798092401e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_alternative,aha_kawasaki,-6.452142168722474e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_alternative,eular_acr_sle,-1.6549416646860493e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_alternative,migraine,3.9585778476625144e-5,0
KjfKfxacUld11LJO7IZCa4LD8,mcas_alternative,slicc_sle,-1.466397637845951e-4,0
KjfKfxacUld11LJO7IZCa4LD8,aha_kawasaki,eular_acr_sle,2.243018553960141e-4,0
KjfKfxacUld11LJO7IZCa4LD8,aha_kawasaki,migraine,-3.322931667348872e-5,0
KjfKfxacUld11LJO7IZCa4LD8,aha_kawasaki,slicc_sle,-2.260425900538765e-4,0
KjfKfxacUld11LJO7IZCa4LD8,eular_acr_sle,migraine,1.8214126696725064e-4,0
KjfKfxacUld11LJO7IZCa4LD8,eular_acr_sle,slicc_sle,3.240922779190747e-5,0
KjfKfxacUld11LJO7IZCa4LD8,migraine,slicc_sle,2.515172771203611e-4,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_consortium,mcas_alternative,-1.0384269061214368e-4,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_consortium,aha_kawasaki,6.475150738438629e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_consortium,eular_acr_sle,-7.782826326863113e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_consortium,migraine,5.270480910957165e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_consortium,slicc_sle,1.0224378813972201e-4,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_alternative,aha_kawasaki,4.4319796706160375e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_alternative,eular_acr_sle,3.986034114222825e-6,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_alternative,migraine,4.390084936578553e-6,0
BX2KqINYLtagDfnmrMjHG9RKe,mcas_alternative,slicc_sle,-8.276075521373993e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,aha_kawasaki,eular_acr_sle,-2.0703881394601442e-4,0
BX2KqINYLtagDfnmrMjHG9RKe,aha_kawasaki,migraine,-7.153755634925485e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,aha_kawasaki,slicc_sle,1.41389337294906e-4,0
BX2KqINYLtagDfnmrMjHG9RKe,eular_acr_sle,migraine,-6.598558772985541e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,eular_acr_sle,slicc_sle,7.25375105807835e-5,0
BX2KqINYLtagDfnmrMjHG9RKe,migraine,slicc_sle,-2.967845678258918e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_consortium,mcas_alternative,4.514441415415238e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_consortium,aha_kawasaki,-1.064415783181838e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_consortium,eular_acr_sle,-1.3245626683400236e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_consortium,migraine,-7.582014795670666e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_consortium,slicc_sle,-2.774654063730786e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_alternative,aha_kawasaki,5.881996286283275e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_alternative,eular_acr_sle,1.4372157735764723e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_alternative,migraine,1.110377430787457e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,mcas_alternative,slicc_sle,-1.3218970653805506e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,aha_kawasaki,eular_acr_sle,2.1631638121188956e-4,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,aha_kawasaki,migraine,5.5234885568355985e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,aha_kawasaki,slicc_sle,8.270707003377176e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,eular_acr_sle,migraine,-8.572539276885394e-6,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,eular_acr_sle,slicc_sle,-8.208911871310232e-5,0
Nfi7CBF8DVbeWfhgdw49WT1Tw,migraine,slicc_sle,-3.148235067392813e-4,0
pSnVOEiAOpI4VaykcI1Tq5ENY,mcas_consortium,mcas_alternative,3.253490999832742e-5,0
pSnVOEiAOpI4VaykcI1Tq5ENY,mcas_consortium,aha_kawasaki,-9.118994176304795e-5,0
pSnVOEiAOpI4VaykcI1Tq5ENY,mcas_consortium,eular_acr_sle,-9.69585517873739e-7,0
pSnVOEiAOpI4VaykcI1Tq5ENY,mcas_consortium,migraine,1.4404774020093658e-4,0
pSnVOEiAOpI4VaykcI1Tq5ENY,mcas_consortium,slicc_sle,-1.7599500460896422e-4,0
