iteration,consensus,mean,median
231208_224806,aha_kawasaki,0.09117968947690311,0.09126984126984122
231208_224806,consensus1,0.07124183006535945,0.05263157894736836
231208_224806,consensus2,0.04252910831858198,0.05263157894736836
231208_224806,eular_acr_sle,0.12187058059091081,0.11111111111111105
231208_224806,migraine,0.11631502503535525,0.11111111111111105
231208_224806,slicc_sle,0.12956083018002523,0.11111111111111105
231208_224807,aha_kawasaki,0.10292854720099302,0.11111111111111105
231208_224807,consensus1,0.08298360279784425,0.05263157894736836
231208_224807,consensus2,0.04276432202128794,0.05263157894736836
231208_224807,eular_acr_sle,0.09789970569124333,0.11111111111111105
231208_224807,migraine,0.11985246340251497,0.11111111111111105
231208_224807,slicc_sle,0.13026602453847036,0.11111111111111105
231208_224807,aha_kawasaki,0.08317795895195275,0.0714285714285714
231208_224807,consensus1,0.08129992737835871,0.05263157894736836
231208_224807,consensus2,0.03848848090334156,0.05263157894736836
231208_224807,eular_acr_sle,0.12173107059587966,0.11111111111111105
231208_224807,migraine,0.12997362687765163,0.11111111111111105
231208_224807,slicc_sle,0.10954783472843327,0.11111111111111105
231208_224808,aha_kawasaki,0.0952919915768213,0.11111111111111105
231208_224808,consensus1,0.08106677368803268,0.05263157894736836
231208_224808,consensus2,0.0372446267183109,0.05263157894736836
231208_224808,eular_acr_sle,0.12456331460459426,0.11111111111111105
231208_224808,migraine,0.10131483392577302,0.05263157894736836
231208_224808,slicc_sle,0.1085884646256163,0.11111111111111105
231208_224807,aha_kawasaki,0.08454360969840845,0.0714285714285714
231208_224807,consensus1,0.08659366280625308,0.05263157894736836
231208_224807,consensus2,0.03527590400655414,0
231208_224807,eular_acr_sle,0.10494973817987233,0.11111111111111105
231208_224807,migraine,0.10810113519091845,0.11111111111111105
231208_224807,slicc_sle,0.15908425748467028,0.17647058823529416
231208_224808,aha_kawasaki,0.09034371045347685,0.0714285714285714
231208_224808,consensus1,0.0802258915262011,0.05263157894736836
231208_224808,consensus2,0.037730243612596526,0.05263157894736836
231208_224808,eular_acr_sle,0.11486832549784044,0.11111111111111105
231208_224808,migraine,0.11197110423116613,0.11111111111111105
231208_224808,slicc_sle,0.13136299354049613,0.11111111111111105
231208_224808,aha_kawasaki,0.0980260995740872,0.11111111111111105
231208_224808,consensus1,0.0820376103657837,0.11111111111111105
231208_224808,consensus2,0.03904413440017153,0.05263157894736836
231208_224808,eular_acr_sle,0.08805182891870196,0.11111111111111105
231208_224808,migraine,0.11217750257997935,0.05263157894736836
231208_224808,slicc_sle,0.11292282995069372,0.11111111111111105
231208_224808,aha_kawasaki,0.09600338315508594,0.0714285714285714
231208_224808,consensus1,0.06262852119405263,0.05263157894736836
231208_224808,consensus2,0.03899330803355569,0.05263157894736836
231208_224808,eular_acr_sle,0.1029965982494362,0.11111111111111105
231208_224808,migraine,0.09549554714673392,0.11111111111111105
231208_224808,slicc_sle,0.1281599969422467,0.11111111111111105
231208_224808,aha_kawasaki,0.08736473364956338,0.0714285714285714
231208_224808,consensus1,0.08532278408439396,0.05263157894736836
231208_224808,consensus2,0.03897856529435474,0.05263157894736836
231208_224808,eular_acr_sle,0.12383900928792568,0.11111111111111105
231208_224808,migraine,0.10296793181210102,0.11111111111111105
231208_224808,slicc_sle,0.13468065588808623,0.11111111111111105
231208_224808,aha_kawasaki,0.07857113932965325,0.0714285714285714
231208_224808,consensus1,0.06891220425792145,0.05263157894736836
231208_224808,consensus2,0.03840136471715417,0
231208_224808,eular_acr_sle,0.1223292435882735,0.11111111111111105
231208_224808,migraine,0.12004166188892709,0.11111111111111105
231208_224808,slicc_sle,0.1284065283033291,0.11111111111111105
231208_224808,aha_kawasaki,0.09217473845956818,0.0714285714285714
231208_224808,consensus1,0.0868822382754271,0.11111111111111105
231208_224808,consensus2,0.04550200401593588,0.05263157894736836
231208_224808,eular_acr_sle,0.1156431383469567,0.11111111111111105
231208_224808,migraine,0.0983362545798046,0.11111111111111105
231208_224808,slicc_sle,0.1255742842946145,0.11111111111111105
231208_224808,aha_kawasaki,0.07721266235198122,0.0714285714285714
231208_224808,consensus1,0.07774911134044257,0.05263157894736836
231208_224808,consensus2,0.04299998247366666,0.05263157894736836
231208_224808,eular_acr_sle,0.12079463364293085,0.11111111111111105
231208_224808,migraine,0.11964797614952413,0.11111111111111105
231208_224808,slicc_sle,0.13042464549172494,0.11111111111111105
231208_224809,aha_kawasaki,0.08365347529434215,0.0714285714285714
231208_224809,consensus1,0.06904215877384089,0.05263157894736836
231208_224809,consensus2,0.045468274415642815,0.05263157894736836
231208_224809,eular_acr_sle,0.12383900928792567,0.11111111111111105
231208_224809,migraine,0.14141153537438367,0.11111111111111105
231208_224809,slicc_sle,0.13242938500936435,0.11111111111111105
231208_224809,aha_kawasaki,0.10049535088234779,0.09126984126984122
231208_224809,consensus1,0.08223636433130754,0.05263157894736836
231208_224809,consensus2,0.04342149078991181,0.05263157894736836
231208_224809,eular_acr_sle,0.10864006421281962,0.11111111111111105
231208_224809,migraine,0.12803577571379426,0.11111111111111105
231208_224809,slicc_sle,0.1272082712227191,0.11111111111111105
231208_224809,aha_kawasaki,0.0815529929307019,0.0714285714285714
231208_224809,consensus1,0.07673240836295528,0.05263157894736836
231208_224809,consensus2,0.0449305768191217,0.05263157894736836
231208_224809,eular_acr_sle,0.09726904406986964,0.05263157894736836
231208_224809,migraine,0.0997649352138516,0.11111111111111105
231208_224809,slicc_sle,0.1392844857241142,0.11111111111111105
231208_224809,aha_kawasaki,0.09096543577967726,0.0714285714285714
231208_224809,consensus1,0.0781103084508657,0.05263157894736836
231208_224809,consensus2,0.03599740472805486,0
231208_224809,eular_acr_sle,0.09398769254290407,0.05263157894736836
231208_224809,migraine,0.10281504414631347,0.11111111111111105
231208_224809,slicc_sle,0.1480564155486756,0.11111111111111105
231208_224809,aha_kawasaki,0.08798739230768501,0.0714285714285714
231208_224809,consensus1,0.0788575469174024,0.05263157894736836
231208_224809,consensus2,0.040650646223401615,0.05263157894736836
231208_224809,eular_acr_sle,0.11105760042808545,0.11111111111111105
231208_224809,migraine,0.12080801131368725,0.11111111111111105
231208_224809,slicc_sle,0.15924588158850284,0.17647058823529416
231208_224809,aha_kawasaki,0.08922451660982479,0.0714285714285714
231208_224809,consensus1,0.08203187707831668,0.05263157894736836
231208_224809,consensus2,0.04027324584600124,0.05263157894736836
231208_224809,eular_acr_sle,0.1195829988915644,0.11111111111111105
231208_224809,migraine,0.11179146122386574,0.11111111111111105
231208_224809,slicc_sle,0.1302297137178458,0.11111111111111105
231208_224809,aha_kawasaki,0.08744884286679952,0.0714285714285714
231208_224809,consensus1,0.06938042273439587,0.05263157894736836
231208_224809,consensus2,0.04002495612402731,0.05263157894736836
231208_224809,eular_acr_sle,0.13294538088139737,0.11111111111111105
231208_224809,migraine,0.11380957841226157,0.11111111111111105
231208_224809,slicc_sle,0.11771776936895613,0.11111111111111105
231208_224809,aha_kawasaki,0.07807340135654235,0.0714285714285714
231208_224809,consensus1,0.08877231204372582,0.11111111111111105
231208_224809,consensus2,0.04156311524732575,0.05263157894736836
231208_224809,eular_acr_sle,0.13231280816420135,0.11111111111111105
231208_224809,migraine,0.10394832396896378,0.11111111111111105
231208_224809,slicc_sle,0.14038909910942934,0.11111111111111105
231208_224809,aha_kawasaki,0.09526732141423949,0.0714285714285714
231208_224809,consensus1,0.07644956618124829,0.05263157894736836
231208_224809,consensus2,0.03743806932661419,0.05263157894736836
231208_224809,eular_acr_sle,0.12375874326338722,0.11111111111111105
231208_224809,migraine,0.12817337461300307,0.11111111111111105
231208_224809,slicc_sle,0.1520429614340863,0.11111111111111105
231208_224809,aha_kawasaki,0.09201761717241592,0.0714285714285714
231208_224809,consensus1,0.078161908038069,0.05263157894736836
231208_224809,consensus2,0.03926482873851292,0.05263157894736836
231208_224809,eular_acr_sle,0.11459312769942283,0.11111111111111105
231208_224809,migraine,0.10630852730955928,0.11111111111111105
231208_224809,slicc_sle,0.12539273019149177,0.11111111111111105
231208_224809,aha_kawasaki,0.0977896229444217,0.0714285714285714
231208_224809,consensus1,0.06766808087757517,0.05263157894736836
231208_224809,consensus2,0.04205801078866092,0.05263157894736836
231208_224809,eular_acr_sle,0.12868937048503612,0.11111111111111105
231208_224809,migraine,0.10246722470664676,0.11111111111111105
231208_224809,slicc_sle,0.11280625310553069,0.11111111111111105
231208_224809,aha_kawasaki,0.09603465693389701,0.0714285714285714
231208_224809,consensus1,0.07624507892825742,0.05263157894736836
231208_224809,consensus2,0.028928381559960484,0
231208_224809,eular_acr_sle,0.12454993693383785,0.11111111111111105
231208_224809,migraine,0.08743454496808467,0.11111111111111105
231208_224809,slicc_sle,0.15020612533512429,0.11111111111111105
231208_224809,aha_kawasaki,0.08820508123913696,0.0714285714285714
231208_224809,consensus1,0.07193746894469287,0.05263157894736836
231208_224809,consensus2,0.040212487890506445,0
231208_224809,eular_acr_sle,0.13088904177655467,0.11111111111111105
231208_224809,migraine,0.12266941864465082,0.11111111111111105
231208_224809,slicc_sle,0.1560677292359439,0.17647058823529416
231208_224809,aha_kawasaki,0.08131713201372644,0.0714285714285714
231208_224809,consensus1,0.07521882047165843,0.05263157894736836
231208_224809,consensus2,0.04575431448496461,0.05263157894736836
231208_224809,eular_acr_sle,0.1438470904931173,0.11111111111111105
231208_224809,migraine,0.12216871153919656,0.11111111111111105
231208_224809,slicc_sle,0.10176203034820164,0.11111111111111105
231208_224810,aha_kawasaki,0.09008618373943451,0.0714285714285714
231208_224810,consensus1,0.09402973665099565,0.11111111111111105
231208_224810,consensus2,0.044364699627857496,0.05263157894736836
231208_224810,eular_acr_sle,0.13139439011472034,0.11111111111111105
231208_224810,migraine,0.12309750410885599,0.11111111111111105
231208_224810,slicc_sle,0.11822885099458885,0.11111111111111105
231208_224810,aha_kawasaki,0.08575327165251173,0.0714285714285714
231208_224810,consensus1,0.08541642777968883,0.11111111111111105
231208_224810,consensus2,0.04368452325108669,0.05263157894736836
231208_224810,eular_acr_sle,0.13572602530290867,0.11111111111111105
231208_224810,migraine,0.13041126782096854,0.11111111111111105
231208_224810,slicc_sle,0.14328140612970333,0.11111111111111105
231208_224810,aha_kawasaki,0.08249320052725626,0.0714285714285714
231208_224810,consensus1,0.07699231739479415,0.05263157894736836
231208_224810,consensus2,0.042045381519065714,0.05263157894736836
231208_224810,eular_acr_sle,0.10293162099147649,0.11111111111111105
231208_224810,migraine,0.09304170011084352,0.11111111111111105
231208_224810,slicc_sle,0.12216871153919656,0.11111111111111105
231208_224810,aha_kawasaki,0.10758263351142609,0.11111111111111105
231208_224810,consensus1,0.08730459045216524,0.11111111111111105
231208_224810,consensus2,0.032917959233748684,0
231208_224810,eular_acr_sle,0.11929715355927945,0.11111111111111105
231208_224810,migraine,0.10935863624202115,0.11111111111111105
231208_224810,slicc_sle,0.10794824752513088,0.11111111111111105
231208_224810,aha_kawasaki,0.1069883002404815,0.0714285714285714
231208_224810,consensus1,0.08797347398998583,0.05263157894736836
231208_224810,consensus2,0.04247740563530034,0.05263157894736836
231208_224810,eular_acr_sle,0.12553797347398996,0.11111111111111105
231208_224810,migraine,0.10304246454917247,0.11111111111111105
231208_224810,slicc_sle,0.11683102090738828,0.11111111111111105
231208_224810,aha_kawasaki,0.0910663267474413,0.0714285714285714
231208_224810,consensus1,0.0855043381875167,0.05263157894736836
231208_224810,consensus2,0.03693557904084217,0
231208_224810,eular_acr_sle,0.11668277447431212,0.11111111111111105
231208_224810,migraine,0.1055670221304896,0.11111111111111105
231208_224810,slicc_sle,0.13236440775140465,0.11111111111111105
231208_224810,aha_kawasaki,0.08087208629004294,0.0714285714285714
231208_224810,consensus1,0.07205404578985587,0.05263157894736836
231208_224810,consensus2,0.04329303307631479,0.05263157894736836
231208_224810,eular_acr_sle,0.10348392768413404,0.11111111111111105
231208_224810,migraine,0.10073194969995793,0.11111111111111105
231208_224810,slicc_sle,0.12348163436914725,0.11111111111111105
231208_224810,aha_kawasaki,0.09236432069249406,0.09126984126984122
231208_224810,consensus1,0.07481557925314371,0.05263157894736836
231208_224810,consensus2,0.04354759447638703,0
231208_224810,eular_acr_sle,0.11251003325306728,0.11111111111111105
231208_224810,migraine,0.10957650116576843,0.11111111111111105
231208_224810,slicc_sle,0.15707951796703087,0.11111111111111105
231208_224810,aha_kawasaki,0.0855933568781866,0.0714285714285714
231208_224810,consensus1,0.07834346214119173,0.05263157894736836
231208_224810,consensus2,0.03527590400655414,0
231208_224810,eular_acr_sle,0.11390322210755645,0.11111111111111105
231208_224810,migraine,0.08439016932308983,0.11111111111111105
231208_224810,slicc_sle,0.12308221534227724,0.11111111111111105
231208_224810,aha_kawasaki,0.0996642103453249,0.0714285714285714
231208_224810,consensus1,0.09217788479914381,0.05263157894736836
231208_224810,consensus2,0.04542985394378581,0.05263157894736836
231208_224810,eular_acr_sle,0.11957426245351939,0.11111111111111105
231208_224810,migraine,0.10134732255475289,0.11111111111111105
231208_224810,slicc_sle,0.11281580858464241,0.11111111111111105
231208_224810,aha_kawasaki,0.08842994524109075,0.11111111111111105
231208_224810,consensus1,0.08761609907120739,0.11111111111111105
231208_224810,consensus2,0.042489227318948664,0
231208_224810,eular_acr_sle,0.10503764858770016,0.11111111111111105
231208_224810,migraine,0.12264075220731566,0.11111111111111105
231208_224810,slicc_sle,0.1389500439552039,0.11111111111111105
231208_224810,aha_kawasaki,0.08555671481368075,0.0714285714285714
231208_224810,consensus1,0.07322363643313072,0.05263157894736836
231208_224810,consensus2,0.0389517603139894,0
231208_224810,eular_acr_sle,0.10429041012116344,0.11111111111111105
231208_224810,migraine,0.10357183809196191,0.11111111111111105
231208_224810,slicc_sle,0.14011963459847876,0.11111111111111105
231208_224810,aha_kawasaki,0.09232206561927925,0.09126984126984122
231208_224810,consensus1,0.0661468486029889,0.05263157894736836
231208_224810,consensus2,0.04624103107075242,0
231208_224810,eular_acr_sle,0.1141803310017964,0.11111111111111105
231208_224810,migraine,0.10373810342850588,0.11111111111111105
231208_224810,slicc_sle,0.1425237931429882,0.11111111111111105
231208_224810,aha_kawasaki,0.08324190715831582,0.0714285714285714
231208_224810,consensus1,0.08203187707831668,0.05263157894736836
231208_224810,consensus2,0.0341390291854688,0
231208_224810,eular_acr_sle,0.12155760189815915,0.11111111111111105
231208_224810,migraine,0.11800061155066313,0.11111111111111105
231208_224810,slicc_sle,0.12203875702327713,0.11111111111111105
231208_224810,aha_kawasaki,0.09464340269293829,0.0714285714285714
231208_224810,consensus1,0.09275885792913653,0.11111111111111105
231208_224810,consensus2,0.03565966197545142,0.05263157894736836
231208_224810,eular_acr_sle,0.10406298971830447,0.11111111111111105
231208_224810,migraine,0.1076099835645759,0.11111111111111105
231208_224810,slicc_sle,0.12502197760195696,0.11111111111111105
231208_224810,aha_kawasaki,0.08901232353244737,0.0714285714285714
231208_224810,consensus1,0.07901043458318997,0.05263157894736836
231208_224810,consensus2,0.04828044332688293,0.05263157894736836
231208_224810,eular_acr_sle,0.12159347169667084,0.11111111111111105
231208_224810,migraine,0.11924091273936474,0.11111111111111105
231208_224810,slicc_sle,0.14197148645033061,0.17647058823529416
231208_224810,aha_kawasaki,0.10015841285191131,0.11111111111111105
231208_224810,consensus1,0.08675610595115235,0.05263157894736836
231208_224810,consensus2,0.040073445646201036,0.05263157894736836
231208_224810,eular_acr_sle,0.10421205519244732,0.11111111111111105
231208_224810,migraine,0.10580782020410502,0.11111111111111105
231208_224810,slicc_sle,0.13469403355884266,0.11111111111111105
231208_224810,aha_kawasaki,0.08912435590594893,0.0714285714285714
231208_224810,consensus1,0.07084814432595646,0.05263157894736836
231208_224810,consensus2,0.03149160780739726,0
231208_224810,eular_acr_sle,0.13109352902954555,0.11111111111111105
231208_224810,migraine,0.12043343653250772,0.11111111111111105
231208_224810,slicc_sle,0.12332301341589266,0.11111111111111105
231208_224811,aha_kawasaki,0.09521998313160711,0.11111111111111105
231208_224811,consensus1,0.07467606925811257,0.05263157894736836
231208_224811,consensus2,0.04335269134030742,0.05263157894736836
231208_224811,eular_acr_sle,0.11069148907126201,0.11111111111111105
231208_224811,migraine,0.11746168252876196,0.11111111111111105
231208_224811,slicc_sle,0.15077972709551657,0.17647058823529416
231208_224810,aha_kawasaki,0.10202191742439422,0.11111111111111105
231208_224810,consensus1,0.06651186790505674,0.05263157894736836
231208_224810,consensus2,0.03365822344150515,0.05263157894736836
231208_224810,eular_acr_sle,0.14522116838938304,0.11111111111111105
231208_224810,migraine,0.10028093108588462,0.11111111111111105
231208_224810,slicc_sle,0.1322248977563735,0.11111111111111105
231208_224811,aha_kawasaki,0.08772426690383346,0.11111111111111105
231208_224811,consensus1,0.06493903604326717,0.05263157894736836
231208_224811,consensus2,0.03413837624363938,0
231208_224811,eular_acr_sle,0.09905591866376177,0.05263157894736836
231208_224811,migraine,0.11226350189198486,0.11111111111111105
231208_224811,slicc_sle,0.1516855865153079,0.17647058823529416
231208_224811,aha_kawasaki,0.07975034368223222,0.0714285714285714
231208_224811,consensus1,0.07579406031418412,0.05263157894736836
231208_224811,consensus2,0.03877876509455454,0.05263157894736836
231208_224811,eular_acr_sle,0.1181534992164507,0.11111111111111105
231208_224811,migraine,0.11006383060046629,0.11111111111111105
231208_224811,slicc_sle,0.10530711309865075,0.11111111111111105
231208_224811,aha_kawasaki,0.0916488911844949,0.0714285714285714
231208_224811,consensus1,0.0818140121545694,0.05263157894736836
231208_224811,consensus2,0.037060668949213824,0
231208_224811,eular_acr_sle,0.11926384588923286,0.11111111111111105
231208_224811,migraine,0.11705844131024727,0.11111111111111105
231208_224811,slicc_sle,0.1230505457543641,0.11111111111111105
231208_224811,aha_kawasaki,0.09646143174147677,0.0714285714285714
231208_224811,consensus1,0.08007873714788057,0.05263157894736836
231208_224811,consensus2,0.04261644787960575,0.05263157894736836
231208_224811,eular_acr_sle,0.11994610709780985,0.11111111111111105
231208_224811,migraine,0.10940068035011273,0.11111111111111105
231208_224811,slicc_sle,0.13271840150065123,0.11111111111111105
231208_224811,aha_kawasaki,0.07293752572390343,0.0714285714285714
231208_224811,consensus1,0.06960784313725488,0.05263157894736836
231208_224811,consensus2,0.038359370247915116,0
231208_224811,eular_acr_sle,0.11056453770592055,0.11111111111111105
231208_224811,migraine,0.10842984367236172,0.11111111111111105
231208_224811,slicc_sle,0.12157436073844742,0.11111111111111105
231208_224811,aha_kawasaki,0.0943326682490769,0.0714285714285714
231208_224811,consensus1,0.07904865649963685,0.05263157894736836
231208_224811,consensus2,0.0360522518417255,0
231208_224811,eular_acr_sle,0.12481448719838811,0.11111111111111105
231208_224811,migraine,0.10870504147077932,0.11111111111111105
231208_224811,slicc_sle,0.13983679241677177,0.11111111111111105
231208_224811,aha_kawasaki,0.10665744644072818,0.11111111111111105
231208_224811,consensus1,0.07906203417039327,0.05263157894736836
231208_224811,consensus2,0.03944943944943942,0.05263157894736836
231208_224811,eular_acr_sle,0.11269158735619002,0.11111111111111105
231208_224811,migraine,0.09708830900781362,0.11111111111111105
231208_224811,slicc_sle,0.10407254519741617,0.11111111111111105
231208_224811,aha_kawasaki,0.09069668434993512,0.0714285714285714
231208_224811,consensus1,0.08854871383251152,0.05263157894736836
231208_224811,consensus2,0.04315610430161513,0
231208_224811,eular_acr_sle,0.12220502235982111,0.11111111111111105
231208_224811,migraine,0.0995336926193479,0.11111111111111105
231208_224811,slicc_sle,0.10695447769751174,0.11111111111111105
231208_224811,aha_kawasaki,0.09072198714754302,0.0714285714285714
231208_224811,consensus1,0.06981233039024573,0.05263157894736836
231208_224811,consensus2,0.039951568898937306,0
231208_224811,eular_acr_sle,0.09706455681687877,0.11111111111111105
231208_224811,migraine,0.1344991017849635,0.11111111111111105
231208_224811,slicc_sle,0.12927034361502884,0.11111111111111105
231208_224811,aha_kawasaki,0.08141430006755083,0.0714285714285714
231208_224811,consensus1,0.0899036807705538,0.11111111111111105
231208_224811,consensus2,0.0485540775014459,0.05263157894736836
231208_224811,eular_acr_sle,0.16260176585253985,0.17647058823529416
231208_224811,migraine,0.09049229828383593,0.05263157894736836
231208_224811,slicc_sle,0.12587241524290027,0.11111111111111105
231208_224811,aha_kawasaki,0.0957057505045121,0.0714285714285714
231208_224811,consensus1,0.09314298818942779,0.11111111111111105
231208_224811,consensus2,0.03596468890586535,0.05263157894736836
231208_224811,eular_acr_sle,0.10890761762794784,0.11111111111111105
231208_224811,migraine,0.11715208500554217,0.11111111111111105
231208_224811,slicc_sle,0.11216221381340058,0.11111111111111105
231208_224811,aha_kawasaki,0.08755607710716069,0.0714285714285714
231208_224811,consensus1,0.07349310094408129,0.05263157894736836
231208_224811,consensus2,0.0394376005831114,0
231208_224811,eular_acr_sle,0.11844207468562472,0.11111111111111105
231208_224811,migraine,0.10358521576271831,0.11111111111111105
231208_224811,slicc_sle,0.11506707946336427,0.11111111111111105
231208_224811,aha_kawasaki,0.08563960692443665,0.0714285714285714
231208_224811,consensus1,0.07608263578335815,0.05263157894736836
231208_224811,consensus2,0.03873274987826069,0
231208_224811,eular_acr_sle,0.13608148912586476,0.11111111111111105
231208_224811,migraine,0.11069449222183998,0.11111111111111105
231208_224811,slicc_sle,0.12702671711959637,0.11111111111111105
231208_224811,aha_kawasaki,0.08261365111210311,0.0714285714285714
231208_224811,consensus1,0.06333371555249775,0.05263157894736836
231208_224811,consensus2,0.037692716640085035,0.05263157894736836
231208_224811,eular_acr_sle,0.12304590452165269,0.11111111111111105
231208_224811,migraine,0.1228872835683981,0.11111111111111105
231208_224811,slicc_sle,0.11941673355502043,0.11111111111111105
231208_224811,aha_kawasaki,0.09306813757278154,0.0714285714285714
231208_224811,consensus1,0.07781217750257996,0.05263157894736836
231208_224811,consensus2,0.04270480121873308,0.05263157894736836
231208_224811,eular_acr_sle,0.11352673623055458,0.11111111111111105
231208_224811,migraine,0.11649657913847798,0.11111111111111105
231208_224811,slicc_sle,0.12471620227038183,0.11111111111111105
231208_224811,aha_kawasaki,0.0997236051415618,0.0714285714285714
231208_224811,consensus1,0.06537476589076173,0.05263157894736836
231208_224811,consensus2,0.03314346472241207,0
231208_224811,eular_acr_sle,0.10577150938348046,0.11111111111111105
231208_224811,migraine,0.11089897947483085,0.11111111111111105
231208_224811,slicc_sle,0.12137069252652326,0.11111111111111105
231208_224811,aha_kawasaki,0.0938556913789112,0.0714285714285714
231208_224811,consensus1,0.06782096854336273,0.05263157894736836
231208_224811,consensus2,0.038812718069683984,0.05263157894736836
231208_224811,eular_acr_sle,0.11283491954286586,0.11111111111111105
231208_224811,migraine,0.10110270228949277,0.11111111111111105
231208_224811,slicc_sle,0.12342430149447692,0.11111111111111105
231208_224811,aha_kawasaki,0.10036851536992263,0.0714285714285714
231208_224811,consensus1,0.06548178725681303,0.05263157894736836
231208_224811,consensus2,0.04106835716742835,0.05263157894736836
231208_224811,eular_acr_sle,0.1301647364598861,0.11111111111111105
231208_224811,migraine,0.12583419332645338,0.11111111111111105
231208_224811,slicc_sle,0.12106409815388142,0.11111111111111105
231208_224811,aha_kawasaki,0.09027417657448618,0.0714285714285714
231208_224811,consensus1,0.08685357183809193,0.05263157894736836
231208_224811,consensus2,0.04514212997185132,0.05263157894736836
231208_224811,eular_acr_sle,0.12570123565995597,0.11111111111111105
231208_224811,migraine,0.13866720177349692,0.11111111111111105
231208_224811,slicc_sle,0.13990722994850963,0.11111111111111105
231208_224811,aha_kawasaki,0.10422041395866333,0.09126984126984122
231208_224811,consensus1,0.07294079425142373,0.05263157894736836
231208_224811,consensus2,0.04207488418014731,0.05263157894736836
231208_224811,eular_acr_sle,0.13717845812789053,0.11111111111111105
231208_224811,migraine,0.10406490081412678,0.11111111111111105
231208_224811,slicc_sle,0.1174196384206704,0.11111111111111105
231208_224811,aha_kawasaki,0.08356913697470972,0.0714285714285714
